id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Abigale;Shields;Ansley_McLaughlin92@hotmail.com;pooh who;2023-12-25T19:38:44;26070;25496
2;Candida;VonRueden;Jeanette.Lang@hotmail.com;pfft;2023-12-26T03:28:38;3308;6720
3;Courtney;Swaniawski;Conor_Ryan@hotmail.com;gainsay;2023-12-25T14:16:23;19967;2969
4;Jaycee;Schinner;Susanna41@yahoo.com;brochure;2023-12-26T02:24:35;28520;3785
5;Celestino;Hagenes;Judah.Bernhard@yahoo.com;continually preoccupation;2023-12-25T21:50:34;18189;17721
6;Jorge;Rohan;Dallin81@gmail.com;off whenever;2023-12-25T12:55:50;22092;22252
7;Alba;Schiller;Gage_Fisher89@hotmail.com;cholesterol bashfully;2023-12-26T08:08:06;10668;11829
8;Jessyca;Welch;Marina_McKenzie@hotmail.com;ouch;2023-12-26T06:32:09;32714;29541
9;Vidal;Shields;Mikayla58@hotmail.com;gah clip;2023-12-25T14:43:23;18959;25172
10;Kristoffer;Waters;Eugenia.Klocko1@gmail.com;lobby avenue;2023-12-25T14:45:11;27790;24229
